time,type,price,size
2024-10-01 00:00:00.007243,TRADE,5808.5,1
2024-10-01 00:00:00.292763,TRADE,5808.25,7
2024-10-01 00:00:00.292881,TRADE,5808.25,1
2024-10-01 00:00:00.299523,TRADE,5808.25,1
2024-10-01 00:00:00.299623,TRADE,5808.25,3
2024-10-01 00:00:00.340498,TRADE,5808.25,1
2024-10-01 00:00:00.472614,TRADE,5808.25,6
2024-10-01 00:00:00.817226,TRADE,5808.25,2
2024-10-01 00:00:01.116984,TRADE,5808.5,1
2024-10-01 00:00:01.428988,TRADE,5808.5,1
2024-10-01 00:00:01.459292,TRADE,5808.5,1
2024-10-01 00:00:01.862377,TRADE,5808.5,6
2024-10-01 00:00:02.520736,TRADE,5808.75,1
2024-10-01 00:00:06.113450,TRADE,5808.75,8
2024-10-01 00:00:06.113584,TRADE,5808.75,1
2024-10-01 00:00:06.113687,TRADE,5808.75,1
2024-10-01 00:00:06.143679,TRADE,5808.75,2
2024-10-01 00:00:06.143780,TRADE,5808.75,1
2024-10-01 00:00:06.216300,TRADE,5808.75,1
2024-10-01 00:00:06.507771,TRADE,5809.0,1
2024-10-01 00:00:07.943228,TRADE,5808.75,2
2024-10-01 00:00:08.175721,TRADE,5809.0,6
2024-10-01 00:00:08.175861,TRADE,5809.0,13
2024-10-01 00:00:08.734958,TRADE,5809.0,12
2024-10-01 00:00:08.747735,TRADE,5809.0,2
2024-10-01 00:00:08.980729,TRADE,5809.0,2
2024-10-01 00:00:09.162173,TRADE,5809.0,1
2024-10-01 00:00:10.208550,TRADE,5809.0,1
2024-10-01 00:00:10.564174,TRADE,5809.0,1
2024-10-01 00:00:10.796894,TRADE,5809.0,1
2024-10-01 00:00:10.796990,TRADE,5809.0,1
2024-10-01 00:00:10.798640,TRADE,5809.0,3
2024-10-01 00:00:10.920240,TRADE,5809.25,1
2024-10-01 00:00:11.131603,TRADE,5809.25,1
2024-10-01 00:00:11.164008,TRADE,5809.25,1
2024-10-01 00:00:13.213840,TRADE,5809.25,1
2024-10-01 00:00:13.214035,TRADE,5809.25,3
2024-10-01 00:00:13.214075,TRADE,5809.25,1
2024-10-01 00:00:13.214262,TRADE,5809.25,2
2024-10-01 00:00:13.214334,TRADE,5809.25,1
2024-10-01 00:00:13.704450,TRADE,5809.25,1
2024-10-01 00:00:14.083450,TRADE,5809.25,1
2024-10-01 00:00:15.599521,TRADE,5809.25,1
2024-10-01 00:00:16.057601,TRADE,5809.25,2
2024-10-01 00:00:16.519164,TRADE,5809.25,1
2024-10-01 00:00:17.065360,TRADE,5809.5,2
2024-10-01 00:00:17.065373,TRADE,5809.5,1
2024-10-01 00:00:17.065373,TRADE,5809.5,1
2024-10-01 00:00:17.065373,TRADE,5809.5,1
2024-10-01 00:00:17.065373,TRADE,5809.5,1
